"annotation","Module","identifier","InChiKey","ion_species","mz","ret_time","ESI_mode","Formula","Super.class","Main.class","Sub.class","Pubchem_CID_final","Pubchem_CID_direct","Pubchem_CID_refmet","CID_agree","CHEBI_ID","HMDB_ID","LM_ID","KEGG_ID","INCHI_KEY","REFMET_ID"
"Cer-NDS d41:0","darkolivegreen","3.25_638.64","FTSDYFFYZJTACJ-UHFFFAOYSA-N","[M+H]+",638.6428,3.247,"ESI pos","C41H83NO3","Sphingolipids","Ceramides","Cer",53817918,53817918,NA,"only_direct","","","","","","RM0134166"
"TG 54:6 Isomer B","darkorange","3.79_896.77","HBOQXIRUPVQLKX-BBWANDEASA-N","[M+NH4]+",896.7703,3.792,"ESI pos","C57H98O6","Glycerolipids","Triradylglycerols","TAG",5322095,5322095,NA,"only_direct","","","","","","RM0062063"
"TG 54:6 Isomer B","darkorange","3.79_896.77","HBOQXIRUPVQLKX-BBWANDEASA-N","[M+NH4]+",896.7703,3.792,"ESI pos","C57H98O6","Glycerolipids","Triradylglycerols","TAG",5322095,5322095,NA,"only_direct","","","","","","RM0062063"
"TG 56:6","darkorange","3.92_924.80","ZTNDRFCABXFVMY-WJTCTALZSA-N","[M+NH4]+",924.8015,3.916,"ESI pos","C59H102O6","Glycerolipids","Triradylglycerols","TAG",9544625,9544625,NA,"only_direct","","","","","","RM0110466"
"TG 56:7 Isomer A","darkorange","3.77_922.78","DODZUDCYRVWEOJ-GKZBLMSTSA-N","[M+NH4]+",922.7838,3.775,"ESI pos","C59H100O6","Glycerolipids","Triradylglycerols","TAG",9544695,9544695,NA,"only_direct","","","","","","RM0134241"
"TG 56:7 Isomer A","darkorange","3.77_922.78","DODZUDCYRVWEOJ-GKZBLMSTSA-N","[M+NH4]+",922.7838,3.775,"ESI pos","C59H100O6","Glycerolipids","Triradylglycerols","TAG",9544695,9544695,NA,"only_direct","","","","","","RM0134241"
"TG 56:7 Isomer B","darkorange","3.86_922.79","DODZUDCYRVWEOJ-GKZBLMSTSA-N","[M+NH4]+",922.7869,3.862,"ESI pos","C59H100O6","Glycerolipids","Triradylglycerols","TAG",9544695,9544695,NA,"only_direct","","","","","","RM0134241"
"TG 56:7 Isomer B","darkorange","3.86_922.79","DODZUDCYRVWEOJ-GKZBLMSTSA-N","[M+NH4]+",922.7869,3.862,"ESI pos","C59H100O6","Glycerolipids","Triradylglycerols","TAG",9544695,9544695,NA,"only_direct","","","","","","RM0134241"
"TG 56:8 Isomer A","darkorange","3.72_920.77","UBGUHMDKBGQUND-VPFWBQFRSA-N","[M+NH4]+",920.771,3.72,"ESI pos","C59H98O6","Glycerolipids","Triradylglycerols","TAG",9544762,9544762,NA,"only_direct","","","","","","RM0134240"
"TG 58:8","darkorange","3.87_948.80","KWIGMCRWEINBIR-HUPVKWKYSA-N","[M+NH4]+",948.8005,3.867,"ESI pos","C61H102O6","Glycerolipids","Triradylglycerols","TAG",9545124,9545124,NA,"only_direct","","","","","","RM0134244"
"TG 58:9","darkorange","3.73_946.78","RVXFSLZMZOFGEQ-SWIIBWKZSA-N","[M+NH4]+",946.7831,3.726,"ESI pos","C61H100O6","Glycerolipids","Triradylglycerols","TAG",9545200,9545200,NA,"only_direct","","","","","","RM0134243"
"LPC 20:0","darkred","1.32_552.40","UATOAILWGVYRQS-HHHXNRCGSA-N","[M+H]+",552.4026,1.322,"ESI pos","C28H58NO7P","Glycerophospholipids","Glycerophosphocholines","LPC",24779473,24779473,NA,"only_direct","","","","","","RM0134472"
"LPC 20:2","darkred","0.80_548.37","YYQVCMMXPIJVHY-ZOIJLGJPSA-N","[M+H]+",548.3711,0.802,"ESI pos","C28H54NO7P","Glycerophospholipids","Glycerophosphocholines","LPC",52924053,52924053,NA,"only_direct","","","","","","RM0104271"
"LPC O-16:0","darkred","0.79_482.36","VLBPIWYTPAXCFJ-UHFFFAOYSA-N","[M+H]+",482.3602,0.785,"ESI pos","C24H52NO6P","Glycerophospholipids","Glycerophosphocholines","O-LPC",3983,3983,162126,"disagree","64496","","LMGP01060010","C04317","VLBPIWYTPAXCFJ-XMMPIXPASA-N","RM0133233"
"LPC P-16:0 or LPC O-16:1","darkred","0.75_480.34","HTZINLFNXLXRBC-CQLBIITFSA-N","[M+H]+",480.343,0.749,"ESI pos","C24H50NO6P","Glycerophospholipids","Glycerophosphocholines","O-LPC",10917802,10917802,NA,"only_direct","","","","","","RM0134476"
"LPC P-18:0 or LPC O-18:1","darkred","0.84_508.38",NA,"[M+H]+",508.3766,0.84,"ESI pos","C26H54NO6P","Glycerophospholipids","Glycerophosphocholines","O-LPC",NA,NA,NA,"both_missing","","","","","","RM0021093"
"LPC p-18:0","darkred","1.17_510.39","XKBJVQHMEXMFDZ-UHFFFAOYSA-N","[M+H]+",510.392,1.167,"ESI pos","C26H54NO6P","Glycerophospholipids","Glycerophosphocholines","O-LPC",3985,3985,NA,"only_direct","","","","","","RM0133230"
"LPI 18:0","darkred","0.72_599.32","MXAFDFDAIFZFET-UHFFFAOYNA-N","[M-H]-",599.316,0.722,"ESI neg","C27H53O12P","Glycerophospholipids","Glycerophosphoinositols","LPI",NA,NA,NA,"both_missing","","","","","","RM0134412"
"LPS 18:0","darkred","0.74_524.30","ZPDQFUYPBVXUKS-UHFFFAOYNA-N","[M-H]-",524.2985,0.736,"ESI neg","C24H48NO9P","Glycerophospholipids","Glycerophosphoserines","LPS",NA,NA,NA,"both_missing","","","","","","RM0007334"
"PGE2","darkturquoise","0.24_351.22","XEYBRNLFEZDVAW-ARSRFYASSA-N","[M-H]-",351.2174,0.244,"ESI neg","C20H32O5","Fatty Acyls","Eicosanoids","Prostaglandins",5280360,5280360,5280360,"agree","15551","HMDB0001220","LMFA03010003","C00584","XEYBRNLFEZDVAW-ARSRFYASSA-N","RM0153758"
"PEtOH 16:0_16:0","darkturquoise","2.25_675.50","UYHAERNXVVKSCT-UHFFFAOYSA-N","[M-H]-",675.4954,2.247,"ESI neg","","Glycerophospholipids","Glycerophosphatidylethanol","PEth",15595546,15595546,NA,"only_direct","-","-","-","-","-","-"
"PEtOH 16:0_18:1","darkturquoise","2.21_701.51","JCABVIFDXFFRMT-VXPUYCOJSA-N","[M-H]-",701.5124,2.213,"ESI neg","","Glycerophospholipids","Glycerophosphatidylethanol","PEth",56640029,56640029,NA,"only_direct","-","-","-","-","-","-"
"PEtOH 16:0_20:4","darkturquoise","1.99_723.50","QTIJJMLOUMWMQQ-BUPHOURSSA-N","[M-H]-",723.4959,1.994,"ESI neg","","Glycerophospholipids","Glycerophosphatidylethanol","PEth",138247565,138247565,NA,"only_direct","-","-","-","-","-","-"
"PEtOH 16:1_18:1","darkturquoise","2.04_699.50","SQEHUBDFCCVGCJ-FRKBGCJLSA-N","[M-H]-",699.497,2.039,"ESI neg","","Glycerophospholipids","Glycerophosphatidylethanol","PEth",138263544,138263544,NA,"only_direct","-","-","-","-","-","-"
"PEtOH 18:1_18:1","darkturquoise","2.25_727.53","JSNRLDUOKDFFEU-WRBBJXAJSA-N","[M-H]-",727.5286,2.246,"ESI neg","","Glycerophospholipids","Glycerophosphatidylethanol","PEth",10283746,10283746,NA,"only_direct","-","-","-","-","-","-"
"PEtOH 18:1_20:4","darkturquoise","2.02_749.51","GPUYXMCSIACMOK-YBDJVEANSA-N","[M-H]-",749.5126,2.019,"ESI neg","","Glycerophospholipids","Glycerophosphatidylethanol","PEth",138162825,138162825,NA,"only_direct","-","-","-","-","-","-"
"PEtOH 36:1","darkturquoise","2.43_729.54","LFYQADSKGJQQJD-XDOYNYLZSA-N","[M-H]-",729.543,2.432,"ESI neg","C41H79O8P","Glycerophospholipids","Glycerophosphatidylethanol","PEth",138201526,138201526,NA,"only_direct","","","","","","RM0090478"
"SM 18:0;2O/21:0","green","2.69_775.66","RKFZWGKFJRROLE-UHFFFAOYSA-N","[M+H]+",775.6591,2.691,"ESI pos","C44H91N2O6P","Sphingolipids","Phosphosphingolipids","SM",138253064,138253064,90659854,"disagree","85016","","LMSP03019BUZ","","RKFZWGKFJRROLE-WZYYJWNZSA-N","RM0138663"
"SM d30:1","green","1.60_647.51_1.60_669.49","HZCLJRFPXMKWHR-FEBLJDHQSA-N","[M+H]+_[M+Na]+",NA,1.5995,"ESI pos","C35H71N2O6P","Sphingolipids","Phosphosphingolipids","SM",44260123,44260123,NA,"only_direct","","","","","","RM0134090"
"SM d31:1","green","1.71_661.53","FJYURYAFGRADQP-WSYRTZMQSA-N","[M+H]+",661.5285,1.708,"ESI pos","C36H73N2O6P","Sphingolipids","Phosphosphingolipids","SM",134729785,134729785,NA,"only_direct","","","","","","RM0120507"
"SM d32:1","green","1.87_733.55","KYICBZWZQPCUMO-PSALXKTOSA-N","[M+Hac-H]- ",733.5493,1.872,"ESI neg","C37H75N2O6P","Sphingolipids","Phosphosphingolipids","SM",11433862,11433862,NA,"only_direct","","","","","","RM0134150"
"SM d32:2","green","1.63_673.53","PEJGMBUENJSLLH-RHAKMSQVSA-N","[M+H]+",673.528,1.627,"ESI pos","C37H73N2O6P","Sphingolipids","Phosphosphingolipids","SM",52931131,52931131,NA,"only_direct","","","","","","RM0134093"
"SM d34:2","green","1.85_701.56_1.85_723.54","YLWSJLLZUHSIEA-CKSUKHGVSA-N","[M+H]+_[M+Na]+",NA,1.8545,"ESI pos","C39H77N2O6P","Sphingolipids","Phosphosphingolipids","SM",52931235,52931235,NA,"only_direct","","","","","","RM0134151"
"SM d37:1 Isomer B","green","2.45_745.62","CCIVNUZPQKBOGQ-DQRAZIAOSA-N","[M+H]+",745.6197,2.448,"ESI pos","C42H85N2O6P","Sphingolipids","Phosphosphingolipids","SM",138133336,138133336,NA,"only_direct","","","","","","RM0138770"
"SM d38:0 Isomer A","green","2.57_761.65","UGRZESKDAPEULH-ACEXITHZSA-N","[M+H]+",761.6452,2.573,"ESI pos","C43H89N2O6P","Sphingolipids","Phosphosphingolipids","SM",44260131,44260131,NA,"only_direct","","","","","","RM0134102"
"SM d38:1","green","2.57_759.64","AADLTHQNYQJHQV-SVLGDMRNSA-N","[M+H]+",759.6384,2.57,"ESI pos","C43H87N2O6P","Sphingolipids","Phosphosphingolipids","SM",44260124,44260124,NA,"only_direct","","","","","","RM0134157"
"SM d39:1","green","2.69_773.65_2.69_795.64","YXSZOBWVQJIWNE-LUJNSPTCSA-N","[M+H]+_[M+Na]+",NA,2.691,"ESI pos","C44H89N2O6P","Sphingolipids","Phosphosphingolipids","SM",134783033,134783033,NA,"only_direct","","","","","","RM0120989"
"SM d39:2 Isomer B","green","2.47_771.64","VSRBUFVNVHHRJF-XVBXMYMNSA-N","[M+H]+",771.6362,2.466,"ESI pos","C44H87N2O6P","Sphingolipids","Phosphosphingolipids","SM",138283119,138283119,NA,"only_direct","","","","","","RM0060121"
"SM d40:2 Isomer B","green","2.58_785.65_2.58_807.63","VBFKEZGCUWHGSK-ADSSWVSQSA-N","[M+H]+_[M+Na]+",NA,2.582,"ESI pos","C45H89N2O6P","Sphingolipids","Phosphosphingolipids","SM",52931203,52931203,NA,"only_direct","","","","","","RM0122299"
"SM d40:4","green","2.57_781.62","LPTFILGGDLXKLI-XUMHSMKBSA-N","[M+H]+",781.6201,2.568,"ESI pos","C45H85N2O6P","Sphingolipids","Phosphosphingolipids","SM",138204581,138204581,NA,"only_direct","","","","","","RM0134107"
"SM d41:0","green","2.93_803.69","JNBCYYBMDZJSNB-UHFFFAOYSA-N","[M+H]+",803.6903,2.928,"ESI pos","C46H95N2O6P","Sphingolipids","Phosphosphingolipids","SM",138186992,138186992,NA,"only_direct","","","","","","RM0059465"
"SM d41:1","green","2.93_801.69_2.92_823.67","SXZWBNWTCVLZJN-NMIJJABPSA-N","[M+H]+_[M+Na]+",NA,2.923,"ESI pos","C46H93N2O6P","Sphingolipids","Phosphosphingolipids","SM",46891684,46891684,NA,"only_direct","","","","","","RM0120987"
"SM d41:2 Isomer B","green","2.69_799.67","JBDGKEXQKCCQFK-JWQIMADESA-N","[M+H]+",799.6697,2.692,"ESI pos","C46H91N2O6P","Sphingolipids","Phosphosphingolipids","SM",52931209,52931209,NA,"only_direct","","","","","","RM0134158"
"SM d41:2 Isomer B","green","2.69_799.67","JBDGKEXQKCCQFK-JWQIMADESA-N","[M+H]+",799.6697,2.692,"ESI pos","C46H91N2O6P","Sphingolipids","Phosphosphingolipids","SM",52931209,52931209,NA,"only_direct","","","","","","RM0134158"
"Cer 18:2;2O/22:0","greenyellow","2.83_620.60","AWTNSRHUZXWBCO-UHFFFAOYSA-N","[M+H]+",620.598,2.834,"ESI pos","C40H77NO3","Sphingolipids","Ceramides","Cer",132994559,132994559,52931123,"disagree","134550","","LMSP02010029","","HILTUFAERVOALR-MQXYEJFFSA-N","RM0135504"
"Cer 18:2;2O/22:0","greenyellow","2.83_620.60","AWTNSRHUZXWBCO-UHFFFAOYSA-N","[M+H]+",620.598,2.834,"ESI pos","C40H77NO3","Sphingolipids","Ceramides","Cer",132994559,132994559,52931123,"disagree","134550","","LMSP02010029","","HILTUFAERVOALR-MQXYEJFFSA-N","RM0135504"
"Cer 18:2;2O/23:0","greenyellow","2.94_634.61","YVMFSKMDQVDKIS-UHFFFAOYSA-N","[M+H]+",634.6138,2.935,"ESI pos","C41H79NO3","Sphingolipids","Ceramides","Cer",132994561,132994561,52931124,"disagree","134552","HMDB0255029","LMSP02010030","","ZMECGTOWDUDJOX-YOFLLLADSA-N","RM0135505"
"Cer d36:1","greenyellow","2.66_600.51_2.66_624.56_2.66_564.54","VODZWWMEJITOND-UHFFFAOYSA-N","[M+Cl]-_[M+Hac-H]-_[M-H]-",NA,2.65866666666667,"ESI neg","C36H71NO3","Sphingolipids","Ceramides","Cer",3607830,3607830,NA,"only_direct","","","","","","RM0029559"
"Cer d36:2","greenyellow","2.43_562.52","WNPWDGNHTKGEDS-UHFFFAOYSA-N","[M-H]-",562.5156,2.432,"ESI neg","C36H69NO3","Sphingolipids","Ceramides","Cer",25201955,25201955,NA,"only_direct","","","","","","RM0048119"
"Cer d38:1","greenyellow","2.90_628.54_2.90_652.59","XWBWIAOWSABHFI-NUKVNZTCSA-N","[M+Cl]-_[M+Hac-H]-",NA,2.9,"ESI neg","C38H75NO3","Sphingolipids","Ceramides","Cer",5283566,5283566,NA,"only_direct","","","","","","RM0134195"
"Cer d39:1","greenyellow","2.95_608.60","WYSRACVJQVNCRW-UHFFFAOYSA-N","[M+H]+",608.5982,2.946,"ESI pos","C39H77NO3","Sphingolipids","Ceramides","Cer",72778956,72778956,NA,"only_direct","","","","","","RM0134162"
"Cer d40:1","greenyellow","3.13_656.58_3.13_620.60","KEPQASGDXIEOIL-UHFFFAOYSA-N","[M+Cl]-_[M-H]-",NA,3.129,"ESI neg","C40H79NO3","Sphingolipids","Ceramides","Cer",53990631,53990631,NA,"only_direct","","","","","","RM0134196"
"Cer d40:2","greenyellow","2.89_678.60_2.90_618.58","AWTNSRHUZXWBCO-UHFFFAOYSA-N","[M+Hac-H]-_[M-H]-",NA,2.8955,"ESI neg","C40H77NO3","Sphingolipids","Ceramides","Cer",132994559,132994559,NA,"only_direct","","","","","","RM0035369"
"Cer d40:2","greenyellow","2.89_678.60_2.90_618.58","AWTNSRHUZXWBCO-UHFFFAOYSA-N","[M+Hac-H]-_[M-H]-",NA,2.8955,"ESI neg","C40H77NO3","Sphingolipids","Ceramides","Cer",132994559,132994559,NA,"only_direct","","","","","","RM0035369"
"Cer d41:1","greenyellow","3.24_670.59_3.24_680.62_3.24_694.63_3.24_634.61","NAJHAHQNQCNWOP-UHFFFAOYSA-N","[M+Cl]-_[M+FA-H]-_[M+Hac-H]-_[M-H]-",NA,3.2395,"ESI neg","C41H81NO3","Sphingolipids","Ceramides","Cer",5321273,5321273,NA,"only_direct","","","","","","RM0134197"
"Cer d41:2","greenyellow","3.00_692.62","KZTBXGOBTULOIO-SZHIUZGGSA-N","[M+Hac-H]-",692.6182,2.996,"ESI neg","C41H79NO3","Sphingolipids","Ceramides","Cer",138199486,138199486,NA,"only_direct","","","","","","RM0134204"
"Cer d42:1","greenyellow","3.35_684.61_3.34_708.65","ZJVVOYPTFQEGPH-AUTSUKAISA-N","[M+Cl]-_[M+Hac-H]-",NA,3.3445,"ESI neg","C42H83NO3","Sphingolipids","Ceramides","Cer",5283571,5283571,NA,"only_direct","","","","","","RM0138775"
"Cer d43:1","greenyellow","3.44_698.62_3.44_722.67","QHPYSHVSWAOLHS-PVNBSDFKSA-N","[M+Cl]-_[M+Hac-H]-",NA,3.443,"ESI neg","C43H85NO3","Sphingolipids","Ceramides","Cer",9547202,9547202,NA,"only_direct","","","","","","RM0134198"
"16,16-dimethylprostaglandin A1","grey","0.68_345.24","CTQQHQGBBMYJPT-UHFFFAOYSA-N","[M-H2O-H]-",345.2429,0.682,"ESI neg","","Fatty Acyls","Eicosanoids","Prostaglandins",53394064,53394064,5271806,"disagree","-","-","-","-","-","-"
"FA 17:0 (margaric acid)","grey","1.24_269.25","KEMQGTRYUADPNZ-UHFFFAOYSA-N","[M-H]-",269.2482,1.236,"ESI neg","C17H34O2","Fatty Acyls","Fatty acids","Saturated FA",10465,10465,10465,"agree","32365","HMDB0002259","LMFA01010017","","KEMQGTRYUADPNZ-UHFFFAOYSA-N","RM0149933"
"FA 22:1 (erucic acid)","grey","1.62_337.31","DPUOLQHDNGRHBS-KTKRTIGZSA-N","[M-H]-",337.3109,1.622,"ESI neg","C22H42O2","Fatty Acyls","Fatty acids","Unsaturated FA",5281116,5281116,5281116,"agree","28792","HMDB0002068","LMFA01030089","C08316","DPUOLQHDNGRHBS-KTKRTIGZSA-N","RM0153624"
"FA 22:2 (docosadienoic acid)","grey","1.46_335.30","HVGRZDASOHMCSK-AVQMFFATSA-N","[M-H]-",335.2957,1.461,"ESI neg","C23H42O2","Fatty Acyls","Fatty acids","Unsaturated FA",5282807,5282807,NA,"only_direct","","","","","","RM0149924"
"FA 24:1 (nervonic acid)","grey","1.87_365.34","GWHCXVQVJPWHRF-KTKRTIGZSA-N","[M-H]-",365.3412,1.868,"ESI neg","C24H46O2","Fatty Acyls","Fatty acids","Unsaturated FA",5281120,5281120,5281120,"agree","44247","HMDB0002368","LMFA01030092","C08323","GWHCXVQVJPWHRF-KTKRTIGZSA-N","RM0153255"
"docosanamide","grey","1.77_340.36","ORAWFNKFUWGRJG-UHFFFAOYSA-N","[M+H]+",340.357,1.768,"ESI pos","C22H45NO","Fatty Acyls","Fatty amides","Primary amides",76468,76468,76468,"agree","165591","HMDB0000583","LMFA08010020","","ORAWFNKFUWGRJG-UHFFFAOYSA-N","RM0152269"
"FAHFA 18:0/20:2","grey","1.37_589.52","HPRZTBFQSJGUBH-GNPIQOGOSA-N","[M-H]-",589.5169,1.37,"ESI neg","","Fatty Acyls","Fatty esters","FAHFA",138171084,138171084,NA,"only_direct","-","-","-","-","-","-"
"acylcarnitine 08:0","grey","0.23_288.22","CXTATJFJDMJMIY-CYBMUJFWSA-N","[M]+",288.2164,0.234,"ESI pos","C15H29NO4","Fatty Acyls","Fatty esters","Acyl carnitines",11953814,11953814,NA,"only_direct","-","-","-","-","-","-"
"acylcarnitine 08:1","grey","0.23_286.20","YMIVWYONPRZBEJ-LXKVQUBZSA-N","[M]+",286.2016,0.234,"ESI pos","C15H27NO4","Fatty Acyls","Fatty esters","Acyl carnitines",53481667,53481667,NA,"only_direct","-","-","-","-","-","-"
"acylcarnitine 10:0","grey","0.26_316.25","LZOSYCMHQXPBFU-UHFFFAOYSA-N","[M]+",316.248,0.263,"ESI pos","C17H33NO4","Fatty Acyls","Fatty esters","Acyl carnitines",10245190,10245190,11953821,"disagree","28717","HMDB0000651","LMFA07070006","C03299","LZOSYCMHQXPBFU-OAHLLOKOSA-N","RM0153849"
"acylcarnitine 10:1","grey","0.25_314.23","GOOOCIIXFLVRAG-UHFFFAOYSA-N","[M]+",314.2327,0.248,"ESI pos","C17H31NO4","Fatty Acyls","Fatty esters","Acyl carnitines",53481651,53481651,NA,"only_direct","","","","","","RM0154082"
"acylcarnitine 12:1","grey","0.23_342.26",NA,"[M]+",342.2637,0.231,"ESI pos","C19H35NO4","Fatty Acyls","Fatty esters","Acyl carnitines",NA,NA,NA,"both_missing","","","","","","RM0154155"
"acylcarnitine 14:1","grey","0.37_370.30",NA,"[M]+",370.2952,0.369,"ESI pos","C21H39NO4","Fatty Acyls","Fatty esters","Acyl carnitines",NA,NA,NA,"both_missing","","","","","","RM0154190"
"trihydroxyoctadec-15-enoic acid","grey","0.23_329.23","DNWUYCUUEGGVPR-CLTKARDFSA-N","[M-H]-",329.2334,0.23,"ESI neg","","Fatty Acyls","Octadecanoids","Tri-HODE",24066906,24066906,NA,"only_direct","-","-","-","-","-","-"
"TG 28:0","grey","2.10_544.46","KHOXIGZKRZJQTF-UHFFFAOYSA-N","[M+NH4]+",544.4574,2.103,"ESI pos","C31H58O6","Glycerolipids","Triradylglycerols","TAG",15904519,15904519,NA,"only_direct","","","","","","RM0015615"
"TG 40:1","grey","3.30_710.63","GKTDXHXZBFIZJU-OIJJMQLXSA-N","[M+NH4]+",710.6277,3.302,"ESI pos","C43H80O6","Glycerolipids","Triradylglycerols","TAG",56936435,56936435,NA,"only_direct","","","","","","RM0134327"
"TG 42:0","grey","3.65_745.64_3.64_740.68","DUXYWXYOBMKGIN-UHFFFAOYSA-N","[M+Na]+_[M+NH4]+",NA,3.6445,"ESI pos","C45H86O6","Glycerolipids","Triradylglycerols","TAG",11148,11148,NA,"only_direct","","","","","","RM0061037"
"TG 44:1","grey","3.65_771.65_3.65_766.69","OUKDNADVOQVFAR-NBTXLFQMSA-N","[M+Na]+_[M+NH4]+",NA,3.6525,"ESI pos","C47H88O6","Glycerolipids","Triradylglycerols","TAG",56937112,56937112,NA,"only_direct","","","","","","RM0112605"
"TG 45:1","grey","3.74_780.71","HUPAFPZFSCXOMQ-VZCXRCSSSA-N","[M+NH4]+",780.7081,3.738,"ESI pos","C48H90O6","Glycerolipids","Triradylglycerols","TAG",138172681,138172681,NA,"only_direct","","","","","","RM0062066"
"TG 64:3","grey","4.50_1042.97",NA,"[M+NH4]+",1042.9707,4.504,"ESI pos","C67H124O6","Glycerolipids","Triradylglycerols","TAG",NA,NA,NA,"both_missing","","","","","","RM0114577"
"PA 18:1_18:1","grey","2.35_723.49","MHUWZNTUIIFHAS-UHFFFAOYSA-N","[M+Na]+",723.4896,2.349,"ESI pos","C39H73O8P","Glycerophospholipids","Glycerophosphates","PA",161048,161048,NA,"only_direct","","","","","","RM0134597"
"LPC O-20:1","grey","1.26_536.41","COFYPCHRMVFZHB-SEYXRHQNSA-N","[M+H]+",536.4053,1.262,"ESI pos","C28H58NO6P","Glycerophospholipids","Glycerophosphocholines","O-LPC",164223487,164223487,NA,"only_direct","","","","","","RM0017267"
"LPC O-24:0","grey","1.88_594.49","GOHRUNJZWITRRS-UHFFFAOYSA-N","[M+H]+",594.4901,1.878,"ESI pos","C32H68NO6P","Glycerophospholipids","Glycerophosphocholines","O-LPC",164262773,164262773,NA,"only_direct","","","","","","RM0133232"
"PC 16:0_18:2","grey","2.21_792.53","JLPULHDHAOZNQI-UHFFFAOYSA-N","[M+Cl]-",792.5315,2.215,"ESI neg","C42H80NO8P","Glycerophospholipids","Glycerophosphocholines","PC",122218,122218,NA,"only_direct","","","","","","RM0104110"
"PC 19:1","grey","0.75_550.35","ZHAHTCLACAJNQI-SEYXRHQNSA-N","[M+H]+",550.3497,0.746,"ESI pos","C27H52NO8P","Glycerophospholipids","Glycerophosphocholines","PC",138312775,138312775,NA,"only_direct","","","","","","RM0134934"
"PC 19:2","grey","0.56_548.34","FJBBYFIJZSIGIO-UTJQPWESSA-N","[M+H]+",548.335,0.556,"ESI pos","C27H50NO8P","Glycerophospholipids","Glycerophosphocholines","PC",138152330,138152330,NA,"only_direct","","","","","","RM0024974"
"PC 21:4","grey","0.54_572.33","XOZKRFBVCYMGKM-GKFVBPDJSA-N","[M+H]+",572.3343,0.538,"ESI pos","C29H50NO8P","Glycerophospholipids","Glycerophosphocholines","PC",138298680,138298680,NA,"only_direct","","","","","","RM0036602"
"PC 30:0","grey","2.14_764.55","RFVFQQWKPSOBED-UHFFFAOYSA-N","[M+Hac-H]-",764.5512,2.136,"ESI neg","C38H76NO8P","Glycerophospholipids","Glycerophosphocholines","PC",10169024,10169024,NA,"only_direct","","","","","","RM0025459"
"PC 34:2","grey","2.21_816.58","JLPULHDHAOZNQI-ZTIMHPMXSA-N","[M+Hac-H]- ",816.5758,2.212,"ESI neg","C42H80NO8P","Glycerophospholipids","Glycerophosphocholines","PC",5287971,5287971,NA,"only_direct","","","","","","RM0025463"
"PC 35:2","grey","2.32_830.59","ZSKWZJYUVZYDQU-WESJWMGVSA-N","[M+Hac-H]- ",830.5894,2.322,"ESI neg","C43H82NO8P","Glycerophospholipids","Glycerophosphocholines","PC",52922491,52922491,NA,"only_direct","","","","","","RM0134879"
"PC 36:3 Isomer B","grey","2.27_842.59","YPAZQMWFRMHBBM-CLKMJQEKSA-N","[M+Hac-H]- ",842.5905,2.266,"ESI neg","C44H82NO8P","Glycerophospholipids","Glycerophosphocholines","PC",53478785,53478785,NA,"only_direct","","","","","","RM0010754"
"PC 38:2","grey","2.67_872.64","ZQLPLCXRBVPKGP-UHFFFAOYSA-N","[M+Hac-H]-",872.6404,2.667,"ESI neg","C46H88NO8P","Glycerophospholipids","Glycerophosphocholines","PC",NA,NA,NA,"both_missing","","","","","","RM0134844"
"PC 38:3","grey","2.52_870.62","LLUINWFQEIMZRU-UHFFFAOYSA-N","[M+Hac-H]-",870.6235,2.521,"ESI neg","C46H86NO8P","Glycerophospholipids","Glycerophosphocholines","PC",NA,NA,NA,"both_missing","","","","","","RM0134820"
"PC 42:2","grey","3.04_870.70","LZCAQCSFNYERJW-HKOLQMFGSA-N","[M+H]+",870.696,3.041,"ESI pos","C50H96NO8P","Glycerophospholipids","Glycerophosphocholines","PC",138207689,138207689,NA,"only_direct","","","","","","RM0171087"
"PC O-18:0_16:0","grey","2.79_806.63","GTFLTTXDLGEBAI-UHFFFAOYSA-N","[M+Hac-H]-",806.6267,2.785,"ESI neg","C42H86NO7P","Glycerophospholipids","Glycerophosphocholines","O-PC",24779324,24779324,24779323,"disagree","75290","","LMGP01020086","","GTFLTTXDLGEBAI-VQJSHJPSSA-N","RM0135061"
"PC O-30:1","grey","2.19_690.54","CNXQXEMKYGYFSY-ZCXUNETKSA-N","[M+H]+",690.542,2.193,"ESI pos","C38H76NO7P","Glycerophospholipids","Glycerophosphocholines","O-PC",164223362,164223362,NA,"only_direct","","","","","","RM0052167"
"PC O-31:7","grey","0.58_692.46","ANUFGDKBXWACSN-KGJCVUFKSA-N","[M+H]+",692.4612,0.58,"ESI pos","C39H66NO7P","Glycerophospholipids","Glycerophosphocholines","O-PC",164196371,164196371,NA,"only_direct","","","","","","RM0180682"
"PC O-40:2 or PC 40:2e","grey","2.96_828.68","VISUXPRSUNICAX-VYEFPUSRSA-N","[M+H]+",828.6849,2.962,"ESI pos","","Glycerophospholipids","Glycerophosphocholines","O-PC",164448386,164448386,NA,"only_direct","-","-","-","-","-","-"
"PC O-42:2 or PC 42:2e","grey","3.16_856.72","URDZVAHPTRQDFK-AKXWPXBYSA-N","[M+H]+",856.7165,3.162,"ESI pos","","Glycerophospholipids","Glycerophosphocholines","O-PC",164439451,164439451,NA,"only_direct","-","-","-","-","-","-"
"PC P-34:0 or PC O-34:1","grey","2.56_804.61","QCGUXAIDEOWPBV-SNKLRXETSA-N","[M+Hac-H]-",804.6052,2.556,"ESI neg","C42H84NO7P","Glycerophospholipids","Glycerophosphocholines","O-PC",53481719,53481719,NA,"only_direct","","","","","","RM0103506"
